,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Série,Valor Fixo
964,2017,Classe 1,Diesel,Usados,8073036750,Mazda,,,105 cv,65 000 km,SUV / TT,Manual,,
965,1999,Classe 1,Diesel,Usados,8067083226,Fiat,12-30-MR,Nacional,105 cv,332 000 km,Monovolume,Manual,,
966,2000,Classe 1,Diesel,Usados,8052897099,Mercedes-Benz,42-92-OT,Nacional,170 cv,450 000 km,Sedan,Manual,Classe E,
967,2014,,Diesel,Usados,8045570366,VW,33PE87,,90 cv,62 050 km,Utilitário,Manual,,Sim
968,2018,,Diesel,Usados,8042017518,Audi,06-UN-26,Nacional,286 cv,36 000 km,Sedan,Automática,,
969,2018,Classe 1,Diesel,Usados,8075729713,BMW,,Nacional,150 cv,31 289 km,Sedan,Automática,Série 3,
970,2017,,Diesel,Usados,8052838131,Renault,75-TB-01,Nacional,90 cv,54 007 km,Carrinha,Manual,,Sim
971,2014,Classe 1,Diesel,Usados,8075729127,Peugeot,,,120 cv,160 019 km,Carrinha,Manual,,
972,2016,Classe 1,Diesel,Usados,8075728889,Renault,,,110 cv,1 350 000 km,SUV / TT,Automática,,
973,2013,Classe 1,Diesel,Usados,8051715052,VW,,Nacional,140 cv,155 000 km,Carrinha,Manual,,
974,2018,Classe 1,Gasolina,Usados,8056164205,Porsche,,Nacional,580 cv,7 000 km,Coupé,Automática,911 (Todos),
975,2013,Classe 1,Diesel,Usados,8059645268,BMW,,,184 cv,164 000 km,Sedan,Manual,Série 3,
976,2016,Classe 1,Diesel,Usados,8075621133,Renault,,,90 cv,60 000 km,SUV / TT,Manual,,Sim
977,2015,Classe 1,Diesel,Usados,8071115176,Mercedes-Benz,,,170 cv,187 000 km,Carrinha,Automática,Classe C,
978,2009,Classe 1,Diesel,Usados,8042265682,Jaguar,,Nacional,130 cv,226 000 km,Sedan,Manual,,
979,2011,Classe 1,Diesel,Usados,8075723276,Kia,,Nacional,90 cv,197 000 km,Carrinha,Manual,,Sim
980,2017,Classe 1,Diesel,Usados,8074688314,Citroën,,,120 cv,53 422 km,Monovolume,Manual,,
981,2015,Classe 1,Diesel,Usados,8075579901,Mercedes-Benz,,,258 cv,225 000 km,Sedan,Automática,Classe S,
982,2015,Classe 1,Diesel,Usados,8075579901,Mercedes-Benz,,,258 cv,225 000 km,Sedan,Automática,Classe S,
983,2013,Classe 1,Diesel,Usados,8051715052,VW,,Nacional,140 cv,155 000 km,Carrinha,Manual,,
984,2004,,Diesel,Usados,8059936472,VW,,Importado,105 cv,176 000 km,Sedan,Manual,,
985,2016,Classe 1,Diesel,Usados,8075621133,Renault,,,90 cv,60 000 km,SUV / TT,Manual,,Sim
986,2007,,Diesel,Usados,8059086183,Renault,,Nacional,85 cv,221 000 km,Carrinha,Manual,,
987,2019,,Híbrido (Gasolina),Usados,8057954189,Toyota,,Nacional,122 cv,5 000 km,SUV / TT,Automática,,Sim
