,Ano de Registo,Classe do veículo,Combustível,Condição,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
740,2017,Classe 1,Híbrido (Gasolina),Usados,Mercedes-Benz,320 cv,22 249 km,SUV / TT,Automática,,35-ZL-43,Classe GLC,
741,2016,Classe 1,Gasolina,Usados,Fiat,69 cv,61 000 km,Pequeno citadino,Manual,,83-RA-46,,Nacional
742,2015,Classe 1,Diesel,Usados,BMW,190 cv,99 000 km,Sedan,Automática,Sim,,Série 4,Nacional
743,2014,,Diesel,Usados,Peugeot,115 cv,39 900 km,Utilitário,,Sim,,,
744,2014,,Eléctrico,Usados,Renault,88 cv,28 000 km,Pequeno citadino,Automática,Sim,,,
745,2015,,Diesel,Usados,BMW,116 cv,119 000 km,Utilitário,Manual,Sim,,Série 1,Nacional
746,2018,,Gasolina,Usados,Fiat,69 cv,18 850 km,Pequeno citadino,Manual,,17-VS-03,,Nacional
747,2015,,Diesel,Usados,BMW,258 cv,139 000 km,SUV / TT,Automática,Sim,19-PX-39,Série X,Nacional
748,2014,Classe 1,Diesel,Usados,BMW,184 cv,139 000 km,Sedan,Manual,Sim,,Série 4,Nacional
749,2018,,Eléctrico,Usados,Renault,92 cv,6 000 km,Pequeno citadino,Automática,Sim,,,
750,2015,,Diesel,Usados,BMW,190 cv,60 000 km,Utilitário,Manual,,,Série 1,Nacional
751,2015,Classe 1,Diesel,Usados,BMW,150 cv,91 300 km,Monovolume,Automática,Sim,,Série 2,Nacional
752,2013,Classe 1,Diesel,Usados,Peugeot,115 cv,206 000 km,Carrinha,Manual,Sim,,,
753,2007,,Diesel,Usados,Peugeot,110 cv,225 500 km,Carrinha,Manual,,,,
754,2018,,Gasolina,Usados,Fiat,69 cv,35 755 km,Pequeno citadino,Manual,,33-UN-47,,Nacional
755,2018,Classe 1,Diesel,Usados,Peugeot,130 cv,68 000 km,SUV / TT,Manual,Sim,,,Nacional
756,2015,,Diesel,Usados,BMW,115 cv,160 000 km,SUV / TT,,,,Série 2,
757,2010,,Gasolina,Usados,Toyota,50 cv,196 000 km,Pequeno citadino,,Sim,,,
758,2015,Classe 1,Diesel,Usados,Citroën,120 cv,75 000 km,Utilitário,Manual,Sim,08-QJ-59,,Nacional
759,2018,Classe 1,Gasolina,Usados,Fiat,69 cv,43 970 km,Pequeno citadino,Manual,,84-UX-56,,Nacional
760,2018,Classe 1,Gasolina,Usados,Fiat,69 cv,43 560 km,Pequeno citadino,Manual,,83-UX-16,,Nacional
761,2018,Classe 1,Diesel,Usados,Mercedes-Benz,116 cv,34 000 km,Utilitário,Manual,Sim,,Classe A,Nacional
762,2018,Classe 1,Híbrido (Gasolina),Usados,BMW,225 cv,8 200 km,SUV / TT,Automática,,,Série 2,
763,2019,Classe 1,Diesel,Usados,Mercedes-Benz,116 cv,18 000 km,Utilitário,Automática,Sim,,Classe A,Nacional
764,2015,,Diesel,Usados,BMW,115 cv,160 000 km,SUV / TT,,,,Série 2,
765,2010,,Diesel,Usados,Volvo,110 cv,100 000 km,Carrinha,,,,,
766,2018,Classe 1,Diesel,Usados,Nissan,115 cv,10 300 km,SUV / TT,Manual,,58-VV-16,,Nacional
767,2018,,Gasolina,Usados,Fiat,69 cv,26 221 km,Pequeno citadino,Automática,,35-VU-35,,Nacional
768,2016,,Diesel,Usados,Volvo,120 cv,105 000 km,Utilitário,Manual,,,,Nacional
769,2017,,Diesel,Usados,Mercedes-Benz,194 cv,23 956 km,Carrinha,Automática,Sim,,Classe E,Nacional
770,2008,Classe 2,Diesel,Usados,BMW,286 cv,140 000 km,SUV / TT,Automática,,,Série X,Nacional
771,2015,,Diesel,Usados,BMW,190 cv,50 445 km,Carrinha,Automática,,,Série 5,Nacional
772,2014,,Diesel,Usados,SEAT,110 cv,159 783 km,Carrinha,Manual,Sim,,,
773,2017,Classe 1,Gasolina,Usados,Citroën,82 cv,50 259 km,Utilitário,Manual,,,,Nacional
774,2018,Classe 1,Gasolina,Usados,VW,60 cv,34 492 km,Pequeno citadino,Manual,,,,Nacional
775,2015,,Diesel,Usados,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
776,2016,,Eléctrico,Usados,Renault,92 cv,99 000 km,Pequeno citadino,Automática,Sim,,,
777,2016,Classe 1,Gasolina,Usados,MINI,102 cv,43 461 km,Citadino,Manual,Sim,,,
778,2013,,Eléctrico,Usados,Renault,88 cv,64 000 km,Pequeno citadino,Automática,Sim,,,
779,2017,,Diesel,Usados,Volvo,120 cv,50 369 km,Carrinha,Automática,Sim,,,Nacional
780,2018,,Diesel,Usados,BMW,190 cv,37 700 km,Carrinha,Automática,Sim,,Série 5,Nacional
781,2015,Classe 1,Diesel,Usados,Volvo,115 cv,94 338 km,Utilitário,Manual,Sim,,,
782,2018,Classe 1,Diesel,Usados,Fiat,95 cv,39 983 km,Carrinha,Manual,,,,
783,2017,Classe 1,Diesel,Usados,BMW,224 cv,196 000 km,Sedan,Automática,Sim,,Série 4,Nacional
784,2010,,Gasolina,Usados,Ford,330 cv,27 682 km,Coupé,Manual,,,,
785,2015,,Diesel,Usados,Porsche,258 cv,159 500 km,SUV / TT,,,,,
786,2013,,Diesel,Usados,Porsche,245 cv,86 100 km,SUV / TT,Automática,Sim,,,
787,2016,Classe 1,Eléctrico,Usados,BMW,170 cv,29 959 km,Citadino,Automática,,32-zl-83,Série i,
788,2019,Classe 1,Diesel,Usados,Fiat,95 cv,21 305 km,SUV / TT,Manual,,,,Nacional
789,2016,,Diesel,Usados,Mercedes-Benz,110 cv,51 102 km,Utilitário,Manual,Sim,,Classe A,
790,2013,Classe 1,Diesel,Usados,VW,140 cv,155 000 km,Carrinha,Manual,,,,Nacional
