,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
8522,2008,Diesel,Usados,8074293574,Peugeot,,,90 cv,170 000 km,Carrinha,Manual,,Classe 1,
8523,2011,Diesel,Usados,8075641587,Opel,,Nacional,95 cv,200 000 km,Monovolume,Manual,,Classe 1,
8524,2016,Gasolina,Usados,8075615252,Smart,,,90 cv,43 600 km,Pequeno citadino,,Sim,,
8525,2004,Diesel,Usados,8064848098,Peugeot,,Nacional,69 cv,206 000 km,Carrinha,Manual,Sim,,
8526,2018,Gasolina,Usados,8062228656,Renault,,Nacional,90 cv,25 000 km,Citadino,Manual,,Classe 1,
8527,2019,Gasolina,Usados,8072909427,BMW,,Nacional,140 cv,5 680 km,Monovolume,Manual,,Classe 1,Série X
8528,2013,Diesel,Usados,8074289739,BMW,,Nacional,313 cv,76 242 km,Coupé,Automática,Sim,Classe 1,Série 6
8529,2006,Gasolina,Usados,8048951163,BMW,,Nacional,218 cv,113 000 km,Coupé,,,,Série 3
8530,2017,Diesel,Usados,8072380444,BMW,,,116 cv,143 000 km,SUV / TT,Manual,,,Série X
8531,2017,Diesel,Usados,8075612400,Jaguar,,Nacional,180 cv,29 487 km,Sedan,Automática,,Classe 1,
8532,2018,Diesel,Usados,8073103084,Mercedes-Benz,23-VT-03,Nacional,194 cv,20 892 km,Sedan,Automática,,,Classe E
8533,2010,Gasolina,Usados,8065730458,Porsche,,Nacional,530 cv,61 000 km,Cabrio,Automática,Sim,Classe 1,911 (Todos)
8534,2019,Híbrido (Gasolina),Usados,8075521673,Toyota,87-ZF-86,,122 cv,12 000 km,SUV / TT,Automática,,Classe 1,
8535,2006,Diesel,Usados,8075611715,BMW,,,177 cv,390 000 km,Carrinha,,Sim,,Série 5
8536,2018,Diesel,Usados,8074292757,Fiat,,Nacional,95 cv,57 960 km,Citadino,Manual,,,
8537,2015,Híbrido (Gasolina),Usados,8073103127,Audi,,Importado,204 cv,147 000 km,Utilitário,Automática,,Classe 1,
8538,2019,Gasolina,Usados,8073102926,Alfa Romeo,68-ZQ-16,,120 cv,50 km,Utilitário,Manual,,Classe 1,
8539,2015,Diesel,Usados,8075611945,Peugeot,60PS17,Nacional,70 cv,115 000 km,Citadino,Manual,Sim,,
8540,2017,Diesel,Usados,8074285905,Peugeot,,Importado,120 cv,166 000 km,SUV / TT,Automática,,,
8541,2011,Gasolina,Usados,8059114970,Honda,,Nacional,10 cv,116 000 km,Citadino,Manual,,,
8542,2016,Gasolina,Usados,8075615252,Smart,,,90 cv,43 600 km,Pequeno citadino,,Sim,,
8543,2017,Diesel,Usados,8068042051,Volvo,,Nacional,120 cv,43 000 km,Carrinha,Manual,,,
8544,2009,Diesel,Usados,8062377579,Fiat,65-IB-67,Nacional,75 cv,180 000 km,Citadino,Manual,Sim,Classe 1,
8545,2008,Diesel,Usados,8069816909,Mitsubishi,,Nacional,95 cv,175 000 km,Citadino,Manual,,,
8546,2011,Gasolina,Usados,8059114970,Honda,,Nacional,10 cv,116 000 km,Citadino,Manual,,,
8547,2006,Diesel,Usados,8036754735,Mercedes-Benz,,,150 cv,230 533 km,Carrinha,Automática,,Classe 1,Classe C
8548,2014,Diesel,Usados,8045373304,Mercedes-Benz,,Nacional,170 cv,57 640 km,Sedan,Automática,,,Classe C
8549,2004,Diesel,Usados,8075612657,Mercedes-Benz,,,150 cv,313 000 km,Carrinha,Automática,,,Classe C
8550,2015,Diesel,Usados,8075645969,BMW,,,115 cv,160 000 km,SUV / TT,,,,Série 2
8551,2011,Diesel,Usados,8075641587,Opel,,Nacional,95 cv,200 000 km,Monovolume,Manual,,Classe 1,
8552,2016,Diesel,Usados,8074294135,Renault,,Importado,110 cv,161 122 km,SUV / TT,Manual,,Classe 1,
8553,2014,Diesel,Usados,8075612739,Mercedes-Benz,,,136 cv,152 000 km,Sedan,Manual,,Classe 1,Classe CLA
8554,2016,Diesel,Usados,8074292564,Opel,21-RF-21,Nacional,110 cv,154 000 km,Carrinha,Manual,Sim,,
8555,2015,Diesel,Usados,8075645969,BMW,,,115 cv,160 000 km,SUV / TT,,,,Série 2
8556,2017,Diesel,Usados,8036314708,Jaguar,,,180 cv,55 500 km,Sedan,Automática,Sim,Classe 1,
8557,2009,Diesel,Usados,8071459693,Mercedes-Benz,,Nacional,109 cv,125 000 km,Monovolume,Manual,,,Classe B
8558,2010,Diesel,Usados,8075613221,Mercedes-Benz,,Nacional,204 cv,160 000 km,Carrinha,Automática,Sim,Classe 1,Classe E
8559,2011,Diesel,Usados,8071890940,Porsche,,Nacional,250 cv,206 000 km,Sedan,,,,
8560,2017,Gasolina,Usados,8075612828,VW,,Nacional,60 cv,38 531 km,Pequeno citadino,Automática,,Classe 1,
8561,2019,Gasolina,Usados,8065856085,Renault,82-XH-74,,90 cv,9 748 km,Citadino,Manual,Sim,,
8562,2015,Diesel,Usados,8075643771,Mercedes-Benz,,,170 cv,170 000 km,Carrinha,,,,Classe C
8563,2019,Gasolina,Usados,8065092197,VW,65-XQ-98,,80 cv,12 458 km,Citadino,Manual,Sim,,
8564,2019,Diesel,Usados,8065092877,Audi,59-XM-29,,204 cv,1 km,Carrinha,Semi-automática,Sim,,
8565,2018,Gasolina,Usados,8065092396,VW,85-UP-25,,95 cv,33 420 km,Citadino,Manual,Sim,,
8566,2017,Diesel,Usados,8068035433,BMW,,Nacional,258 cv,47 000 km,Sedan,Automática,Sim,Classe 1,Série 4
8567,2013,Diesel,Usados,8075613301,Renault,,,90 cv,189 330 km,Carrinha,Manual,Sim,Classe 1,
8568,2017,Diesel,Usados,8068035433,BMW,,Nacional,258 cv,47 000 km,Sedan,Automática,Sim,Classe 1,Série 4
8569,2019,Gasolina,Usados,8070476987,Renault,74-XD-25,,90 cv,19 253 km,SUV / TT,Manual,Sim,,
8570,2016,Diesel,Usados,8073014606,VW,84-RL-84,,110 cv,67 394 km,Utilitário,Semi-automática,Sim,,
8571,2011,Diesel,Usados,8073085290,Chevrolet,,Nacional,163 cv,150 000 km,Sedan,Manual,Sim,Classe 1,
8572,2015,Diesel,Usados,8065092793,Audi,44-QQ-12,,190 cv,13 138 km,Cabrio,Manual,Sim,,
8573,2019,Diesel,Usados,8073014608,Audi,02-XH-76,,272 cv,14 797 km,SUV / TT,Semi-automática,Sim,,
8574,2019,Gasolina,Usados,8065092860,Audi,02-XH-50,,116 cv,13 900 km,Utilitário,Manual,Sim,,
8575,2018,Diesel,Usados,8065856082,Renault,50-US-69,,110 cv,45 541 km,Monovolume,Manual,Sim,,
8576,2015,Eléctrico,Usados,8054927441,Renault,,Importado,88 cv,14 000 km,Pequeno citadino,Automática,,Classe 1,
8577,2018,Gasolina,Usados,8056507893,VW,34-UT-56,,60 cv,32 167 km,Pequeno citadino,Semi-automática,Sim,,
8578,2019,Diesel,Usados,8065856016,Mitsubishi,17-XG-40,,114 cv,12 356 km,SUV / TT,Manual,Sim,,
8579,2018,Gasolina,Usados,8075612883,SEAT,,,115 cv,35 100 km,Carrinha,Manual,,Classe 1,
8580,2019,Gasolina,Usados,8065856130,Renault,80-XJ-33,,140 cv,8 563 km,Carrinha,Manual,Sim,,
8581,2017,Gasolina,Usados,8075612957,Opel,,Nacional,70 cv,38 000 km,Citadino,Manual,,Classe 1,
8582,2013,Diesel,Usados,8075612772,BMW,,,218 cv,209 000 km,Carrinha,Manual,,Classe 1,Série 5
8583,2019,Diesel,Usados,8065092821,Audi,08-XO-26,,116 cv,1 km,SUV / TT,Manual,Sim,,
8584,2015,Diesel,Usados,8075643771,Mercedes-Benz,,,170 cv,170 000 km,Carrinha,,,,Classe C
8585,2000,Gasolina,Usados,8070998690,Mercedes-Benz,,Nacional,170 cv,171 000 km,Cabrio,Manual,Sim,Classe 1,Classe SLK
8586,2018,Diesel,Usados,8064937971,VW,42-VF-10,,204 cv,12 135 km,Carrinha,Semi-automática,Sim,,
8587,2011,Diesel,Usados,8073085290,Chevrolet,,Nacional,163 cv,150 000 km,Sedan,Manual,Sim,Classe 1,
8588,2019,Diesel,Usados,8065092762,Audi,08-XO-48,,204 cv,1 km,Carrinha,Semi-automática,Sim,,
8589,2019,Gasolina,Usados,8064020371,Renault,80-XJ-54,,140 cv,12 406 km,Carrinha,Manual,Sim,,
8590,2019,Gasolina,Usados,8063744144,Audi,50-XN-88,,116 cv,11 494 km,Utilitário,Manual,Sim,,
8591,2016,Diesel,Usados,8075745332,BMW,,Nacional,218 cv,60 400 km,Carrinha,Automática,Sim,Classe 1,Série 5
8592,2016,Diesel,Usados,8075745332,BMW,,Nacional,218 cv,60 400 km,Carrinha,Automática,Sim,Classe 1,Série 5
8593,2019,Gasolina,Usados,8065178857,Audi,62-ZG-61,,116 cv,1 km,Utilitário,Manual,Sim,,
8594,2018,Gasolina,Usados,8064937961,VW,74-UV-80,,75 cv,26 504 km,Citadino,Manual,Sim,,
8595,2018,Gasolina,Usados,8063744035,VW,69-UU-38,,60 cv,19 901 km,Pequeno citadino,Semi-automática,Sim,,
8596,2019,Gasolina,Usados,8065092751,Audi,51-XN-16,,116 cv,8 257 km,Utilitário,Manual,Sim,,
8597,2019,Diesel,Usados,8064937969,VW,44-XE-39,,177 cv,21 700 km,Monovolume,Semi-automática,Sim,,
8598,2017,Diesel,Usados,8074302764,Peugeot,,,100 cv,48 000 km,SUV / TT,Automática,,Classe 1,
8599,2007,Gasolina,Usados,8073020174,Chevrolet,,Nacional,100 cv,176 000 km,Carrinha,Manual,,,
8600,2019,Diesel,Usados,8070477029,Renault,40-XH-35,,115 cv,18 058 km,SUV / TT,Manual,Sim,,
8601,2006,Gasolina,Usados,8064334122,BMW,,Importado,260 cv,78 000 km,Cabrio,Automática,,Classe 1,Série 6
8602,2014,Diesel,Usados,8062081793,Opel,90-PI-35,Nacional,136 cv,72 420 km,Carrinha,Manual,,Classe 1,
8603,2013,Diesel,Usados,8034221735,Opel,,Nacional,95 cv,134 000 km,Citadino,Manual,,Classe 1,
8604,2018,Gasolina,Usados,8072858950,Skoda,43408,,75 cv,27 107 km,Citadino,Manual,Sim,,
8605,2012,Diesel,Usados,8075613702,Chevrolet,,Nacional,163 cv,90 000 km,SUV / TT,Manual,Sim,,
8606,2015,Diesel,Usados,8075613757,BMW,69-PU-36,Nacional,218 cv,219 601 km,Carrinha,Automática,,Classe 1,Série 5
8607,2017,Diesel,Usados,8069987160,Ford,,Nacional,120 cv,41 000 km,Utilitário,Manual,,,
8608,2018,Gasolina,Usados,8065855779,VW,85-UP-86,,95 cv,39 019 km,Citadino,Manual,Sim,,
8609,2012,Diesel,Usados,8070495856,Mercedes-Benz,,Importado,174 cv,207 260 km,Carrinha,Manual,,Classe 1,Classe C
8610,2017,Diesel,Usados,8074302764,Peugeot,,,100 cv,48 000 km,SUV / TT,Automática,,Classe 1,
8611,2015,Diesel,Usados,8060301923,Nissan,00-00-00,,110 cv,161 000 km,SUV / TT,Manual,Sim,,
8612,2018,Diesel,Usados,8072857750,Audi,43485,,116 cv,62 050 km,Utilitário,Manual,Sim,,
8613,2015,Diesel,Usados,8060301923,Nissan,00-00-00,,110 cv,161 000 km,SUV / TT,Manual,Sim,,
8614,2009,Gasolina,Usados,8039773394,Smart,,Nacional,61 cv,147 000 km,Pequeno citadino,Automática,,Classe 1,
8615,2019,Gasolina,Usados,8070477030,Renault,42-XH-62,,90 cv,20 725 km,Citadino,Manual,Sim,,
8616,2010,Gasolina,Usados,8064229709,Renault,,Nacional,75 cv,55 570 km,Citadino,Manual,,,
8617,2017,Diesel,Usados,8073024998,Audi,22-TQ-79,,218 cv,15 831 km,Sedan,Semi-automática,Sim,,
8618,2019,Gasolina,Usados,8070477019,Renault,92-XF-84,,90 cv,18 482 km,Carrinha,Manual,Sim,,
8619,2018,Gasolina,Usados,8072857740,Audi,43276,,116 cv,18 498 km,Cabrio,Manual,Sim,,
8620,2010,Diesel,Usados,8073897737,Renault,,Nacional,115 cv,273 289 km,Carrinha,Manual,,,
8621,2018,Diesel,Usados,8073024898,Volvo,42096,,120 cv,36 093 km,Utilitário,Manual,Sim,,
8622,2014,Diesel,Usados,8075613843,BMW,,,150 cv,149 000 km,Carrinha,Manual,,Classe 1,Série 5
8623,2018,Diesel,Usados,8074292500,Volvo,81UF51,Nacional,190 cv,41 000 km,Carrinha,Automática,Sim,,
8624,2001,Gasolina,Usados,8060436697,BMW,,Nacional,343 cv,97 000 km,Coupé,Manual,Sim,Classe 1,Série 3
8625,2004,Diesel,Usados,8073973629,Renault,,Nacional,115 cv,270 000 km,Utilitário,Manual,,Classe 1,
8626,2017,Gasolina,Usados,8065855782,VW,93-SS-99,,60 cv,34 053 km,Pequeno citadino,Semi-automática,Sim,,
8627,2007,Gasolina,Usados,8075619880,Chevrolet,,Nacional,94 cv,99 896 km,Citadino,Manual,,Classe 1,
8628,2010,Diesel,Usados,8040415888,Citroën,,Nacional,110 cv,136 800 km,Utilitário,Manual,,,
8629,2018,Diesel,Usados,8072857739,Audi,43100,,116 cv,41 978 km,Utilitário,Manual,Sim,,
8630,2005,Diesel,Usados,8041356330,BMW,,Importado,231 cv,255 000 km,Sedan,Automática,,Classe 1,Série 7
8631,2009,Diesel,Usados,8043069539,Volvo,,,110 cv,230 000 km,Carrinha,Manual,,Classe 1,
8632,2007,Gasolina,Usados,8075619880,Chevrolet,,Nacional,94 cv,99 896 km,Citadino,Manual,,Classe 1,
8633,2016,Diesel,Usados,8075613938,MINI,75se29,Nacional,116 cv,32 820 km,Citadino,Automática,Sim,Classe 1,
8634,2000,Gasolina,Usados,8067453561,Audi,,Nacional,260 cv,240 800 km,Sedan,Automática,,,
8635,2015,Diesel,Usados,8069928453,Audi,68-QJ-76,,190 cv,72 813 km,Sedan,Semi-automática,Sim,,
8636,2014,Diesel,Usados,8062081793,Opel,90-PI-35,Nacional,136 cv,72 420 km,Carrinha,Manual,,Classe 1,
8637,2010,Gasolina,Usados,8074333426,SEAT,,,70 cv,129 000 km,Carrinha,Manual,,Classe 1,
8638,2018,Diesel,Usados,8075614478,Renault,00-00-00,,165 cv,27 000 km,Utilitário,Manual,,Classe 1,
8639,2011,Diesel,Usados,8075614316,SEAT,36-LG-82,Nacional,75 cv,144 604 km,Coupé,Manual,,Classe 1,
8640,2018,Eléctrico,Usados,8075613993,Nissan,,,150 cv,12 000 km,Utilitário,Automática,Sim,Classe 1,
8641,2019,Gasolina,Usados,8073088587,Ford,,Nacional,85 cv,15 000 km,Citadino,Manual,Sim,Classe 1,
8642,2016,Diesel,Usados,8075591793,Mercedes-Benz,,Nacional,204 cv,49 356 km,Coupé,Automática,,Classe 1,Classe C
8643,2015,Diesel,Usados,8073034216,Ford,,Nacional,120 cv,164 000 km,Carrinha,Manual,Sim,Classe 1,
8644,2019,Diesel,Usados,8062315894,MINI,,Nacional,116 cv,80 km,Carrinha,,Sim,Classe 1,
8645,2004,Diesel,Usados,8075614620,Opel,,,150 cv,247 000 km,Sedan,,,,
8646,2014,Diesel,Usados,8075612517,Volvo,,Importado,190 cv,164 700 km,Utilitário,Manual,,,
8647,2007,Diesel,Usados,8075736744,Mercedes-Benz,,Importado,109 cv,212 000 km,Monovolume,Automática,,Classe 1,Classe A
8648,2012,Diesel,Usados,8075614197,Mercedes-Benz,15-NE-56,Nacional,204 cv,186 232 km,Sedan,Automática,,Classe 1,Classe C
8649,2018,Diesel,Usados,8072857814,BMW,43738,,150 cv,21 280 km,Carrinha,Manual,Sim,,Série 3
8650,2011,Diesel,Usados,8075614237,Opel,18-RT-93,Nacional,95 cv,203 029 km,Carrinha,Manual,,Classe 1,
8651,2020,Gasolina,Novos,8075603291,Kia,,Nacional,370 cv,1 km,Sedan,Automática,Sim,Classe 1,
8652,2019,Diesel,Usados,8062315894,MINI,,Nacional,116 cv,80 km,Carrinha,,Sim,Classe 1,
8653,2018,Diesel,Usados,8072857815,BMW,43734,,150 cv,23 650 km,Carrinha,Manual,Sim,,Série 3
8654,2016,Diesel,Usados,8075614026,Ford,,Importado,120 cv,73 000 km,Carrinha,Manual,,Classe 1,
8655,2011,Diesel,Usados,8073204978,Renault,45-MJ-51,Nacional,90 cv,155 067 km,Carrinha,Manual,Sim,Classe 1,
8656,2014,Diesel,Usados,8073204994,Renault,00-00-00,,90 cv,128 990 km,SUV / TT,Manual,Sim,Classe 1,
8657,2004,Diesel,Usados,8074523166,Audi,,Nacional,130 cv,211 300 km,Sedan,Manual,,Classe 1,
8658,2020,Diesel,Novos,8075599812,Kia,,Nacional,200 cv,1 km,SUV / TT,Automática,Sim,Classe 2,
8659,2019,Gasolina,Usados,8066269409,Fiat,,Nacional,69 cv,12 500 km,Pequeno citadino,Manual,Sim,Classe 1,
8660,2016,Diesel,Usados,8075591793,Mercedes-Benz,,Nacional,204 cv,49 356 km,Coupé,Automática,,Classe 1,Classe C
8661,2020,Diesel,Novos,8075600118,Kia,,Nacional,115 cv,1 km,SUV / TT,Manual,Sim,,
8662,2007,Gasolina,Usados,8075758114,Mazda,,,126 cv,65 031 km,Cabrio,Manual,,Classe 1,
8663,2010,Diesel,Usados,8075614433,Mercedes-Benz,,,204 cv,222 008 km,Sedan,,,,Classe E
8664,2014,Diesel,Usados,8074500247,Volvo,,,190 cv,120 277 km,Utilitário,Manual,Sim,Classe 1,
8665,2007,Gasolina,Usados,8075758114,Mazda,,,126 cv,65 031 km,Cabrio,Manual,,Classe 1,
8666,2007,Diesel,Usados,8075736744,Mercedes-Benz,,Importado,109 cv,212 000 km,Monovolume,Automática,,Classe 1,Classe A
8667,2014,Diesel,Usados,8075614577,Citroën,,,116 cv,150 000 km,Monovolume,Manual,,,
8668,2017,Diesel,Usados,8075614347,Fiat,66-XZ-12,,95 cv,54 307 km,Utilitário,Manual,,Classe 1,
8669,2020,Híbrido (Gasolina),Novos,8075601779,Kia,,Nacional,205 cv,1 km,Carrinha,Automática,Sim,Classe 1,
8670,2006,Diesel,Usados,8075614283,BMW,92-CE-43,Nacional,163 cv,238 756 km,Carrinha,Automática,,Classe 1,Série 5
8671,2009,Diesel,Usados,8075614602,Fiat,00-00-00,Nacional,75 cv,173 000 km,Citadino,Manual,,Classe 1,
8672,2019,Gasolina,Usados,8075614597,SEAT,,Nacional,115 cv,1 980 km,Citadino,Manual,,Classe 1,
8673,2014,Diesel,Usados,8073033050,Audi,,Nacional,110 cv,118 000 km,Utilitário,Manual,Sim,Classe 1,
8674,2010,Diesel,Usados,8075614202,BMW,,,136 cv,232 587 km,Carrinha,Manual,,Classe 1,Série 3
8675,2014,Diesel,Usados,8073035102,Renault,,,90 cv,130 000 km,SUV / TT,Manual,Sim,Classe 1,
8676,2012,Diesel,Usados,8075614282,BMW,,,143 cv,143 000 km,Carrinha,Manual,,Classe 1,Série 3
8677,2012,Diesel,Usados,8075614206,Peugeot,,,112 cv,236 882 km,Monovolume,Automática,Sim,,
8678,2020,Gasolina,Usados,8075603775,Renault,,Nacional,100 cv,700 km,SUV / TT,Manual,,Classe 1,
8679,2017,Diesel,Usados,8075604364,Ford,10-TE-08,Nacional,150 cv,46 500 km,Monovolume,Automática,Sim,Classe 1,
8680,2014,Diesel,Usados,8074535139,VW,00-OO-00,Nacional,75 cv,80 600 km,Citadino,Manual,,Classe 1,
8681,2014,Diesel,Usados,8073076198,Fiat,,Nacional,90 cv,131 000 km,Citadino,Manual,Sim,Classe 1,
8682,2015,Diesel,Usados,8073035328,Ford,,Nacional,120 cv,173 000 km,Carrinha,Manual,Sim,Classe 1,
8683,2020,Gasolina,Novos,8075599323,Kia,,Nacional,100 cv,1 km,Pequeno citadino,Manual,Sim,,
8684,2017,Diesel,Usados,8053897580,SEAT,54SI27,,110 cv,86 309 km,Carrinha,Manual,Sim,,
8685,2005,Diesel,Usados,8075614747,Volvo,,Nacional,110 cv,171 677 km,Carrinha,Manual,,Classe 1,
8686,2020,Gasolina,Novos,8075599778,Kia,,Nacional,120 cv,1 km,Citadino,Automática,Sim,,
8687,2004,Diesel,Usados,8068525785,Ford,,Nacional,110 cv,240 000 km,Monovolume,Manual,Sim,Classe 1,
8688,2017,Diesel,Usados,8075614795,Ford,,,120 cv,47 000 km,Carrinha,Manual,,Classe 1,
8689,2020,Híbrido (Gasolina),Novos,8075599297,Kia,,Nacional,141 cv,1 km,SUV / TT,Automática,Sim,Classe 1,
8690,2013,Híbrido (Gasolina),Usados,8073889175,Toyota,,,126 cv,65 000 km,Sedan,Automática,Sim,Classe 1,
8691,2017,Diesel,Usados,8075604364,Ford,10-TE-08,Nacional,150 cv,46 500 km,Monovolume,Automática,Sim,Classe 1,
8692,2010,Diesel,Usados,8067667143,Ford,,Nacional,110 cv,120 000 km,Carrinha,Manual,Sim,Classe 1,
8693,1996,Diesel,Usados,8067874268,Mercedes-Benz,,,150 cv,530 000 km,Sedan,Manual,Sim,Classe 1,Classe C
8694,2011,Gasolina,Usados,8070655290,Fiat,,Nacional,70 cv,67 000 km,Pequeno citadino,Manual,Sim,Classe 1,
8695,2011,Diesel,Usados,8075614737,BMW,00-00-00,,163 cv,230 906 km,Utilitário,Manual,,Classe 1,Série 3
8696,2001,Gasolina,Usados,8073209894,Ford,00-00-00,Nacional,130 cv,222 000 km,Coupé,Manual,Sim,Classe 1,
8697,2001,Gasolina,Usados,8074217547,Mercedes-Benz,,,193 cv,213 628 km,Cabrio,Manual,,,Classe CLK
8698,2017,Gasolina,Usados,8073035807,Opel,,Nacional,70 cv,44 000 km,Citadino,Manual,Sim,Classe 1,
8699,2013,Diesel,Usados,8073035579,Renault,,,110 cv,164 000 km,Monovolume,Manual,Sim,Classe 1,
8700,2015,Gasolina,Usados,8055351233,Nissan,,,115 cv,35 453 km,SUV / TT,,,,
8701,2010,Gasolina,Usados,8073209867,Porsche,00-00-00,Nacional,500 cv,25 000 km,Sedan,Automática,Sim,Classe 1,
8702,2020,Gasolina,Usados,8075603775,Renault,,Nacional,100 cv,700 km,SUV / TT,Manual,,Classe 1,
8703,2014,Diesel,Usados,8075614770,VW,89-PB-26,Nacional,140 cv,127 000 km,Carrinha,Manual,Sim,Classe 1,
8704,2014,Diesel,Usados,8074535139,VW,00-OO-00,Nacional,75 cv,80 600 km,Citadino,Manual,,Classe 1,
8705,2016,Diesel,Usados,8075614784,Mercedes-Benz,,,110 cv,172 500 km,Utilitário,Manual,,Classe 1,Classe A
8706,2018,Gasolina,Usados,8056071898,Citroën,,,82 cv,14 032 km,Utilitário,Manual,,,
8707,2016,Diesel,Usados,8075614663,Peugeot,,,75 cv,95 317 km,Citadino,Manual,,,
8708,2020,Gasolina,Novos,8075598324,Kia,,Nacional,120 cv,1 km,Carrinha,Manual,Sim,Classe 1,
8709,2014,Diesel,Usados,8053897525,Peugeot,18PJ55,,92 cv,93 216 km,SUV / TT,Manual,Sim,,
8710,2007,Diesel,Usados,8038770765,BMW,,Nacional,163 cv,215 000 km,Carrinha,Manual,Sim,Classe 1,Série 5
8711,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
8712,2014,Diesel,Usados,8075614743,SEAT,,,90 cv,450 000 km,Carrinha,,Sim,,
8713,2014,Gasolina,Usados,8073076744,Nissan,,Nacional,80 cv,86 000 km,Citadino,Manual,Sim,Classe 1,
8714,2006,Gasolina,Usados,8073209920,Citroën,00-00-00,Nacional,60 cv,162 000 km,Pequeno citadino,Manual,Sim,Classe 1,
8715,2014,Gasolina,Usados,8073076472,Citroën,,Nacional,70 cv,74 000 km,Citadino,Manual,Sim,Classe 1,
8716,2020,Gasolina,Novos,8075598672,Kia,,Nacional,255 cv,1 km,Sedan,,Sim,,
8717,2015,Diesel,Usados,8073915045,Audi,,,140 cv,140 000 km,Sedan,,,,
8718,2020,Híbrido (Gasolina),Novos,8075593558,Kia,,Nacional,141 cv,1 km,SUV / TT,Automática,Sim,Classe 1,
8719,2018,Diesel,Usados,8072858336,Renault,44555,,110 cv,41 100 km,Monovolume,Manual,Sim,,
8720,2020,Gasolina,Novos,8075597747,Kia,,Nacional,132 cv,1 km,SUV / TT,Manual,Sim,,
8721,2018,Diesel,Usados,8075614818,Renault,43VD82,Nacional,110 cv,71 000 km,Sedan,Manual,Sim,,
8722,1999,Gasolina,Usados,8050214787,Mercedes-Benz,00-00-00,Importado,193 cv,140 000 km,Cabrio,Manual,Sim,,Classe SLK
8723,2015,Diesel,Usados,8067446279,Jaguar,,,163 cv,122 000 km,Sedan,Automática,,Classe 1,
8724,2011,Gasolina,Usados,8075614864,Renault,,,75 cv,116 500 km,Citadino,Manual,,Classe 1,
8725,2012,Diesel,Usados,8075614494,VW,,,75 cv,182 000 km,Citadino,Manual,,Classe 1,
8726,2015,Diesel,Usados,8072336195,BMW,,,120 cv,124 000 km,Utilitário,Automática,,Classe 1,Série 1
8727,2008,Diesel,Usados,8063007414,Smart,00-00-00,Nacional,45 cv,140 000 km,Citadino,Automática,Sim,,
8728,2020,Gasolina,Novos,8075597064,Kia,,Nacional,120 cv,1 km,SUV / TT,Manual,Sim,Classe 1,
8729,2014,Diesel,Usados,8075253930,Mercedes-Benz,,,170 cv,65 000 km,Sedan,,,,Classe C
8730,2001,Gasolina,Usados,8062705117,Peugeot,,,60 cv,229 000 km,Citadino,Manual,,Classe 1,
8731,2020,Híbrido (Gasolina),Novos,8075592044,Kia,,Nacional,141 cv,1 km,SUV / TT,Automática,Sim,Classe 1,
8732,2018,Gasolina,Usados,8063598225,Chevrolet,,,343 cv,25 860 km,Cabrio,,,,
8733,2014,Diesel,Usados,8075683640,Renault,,Importado,90 cv,190 000 km,Carrinha,Manual,,Classe 1,
8734,2015,Diesel,Usados,8066063534,Audi,00-00-00,Nacional,190 cv,249 500 km,Sedan,Automática,Sim,,
8735,2013,Diesel,Usados,8063007435,Renault,00-00-00,,130 cv,130 000 km,Coupé,Manual,Sim,,
8736,2010,Diesel,Usados,8055009924,Peugeot,,Nacional,90 cv,144 000 km,Carrinha,Manual,,,
8737,2011,Diesel,Usados,8064319319,Opel,,,95 cv,73 291 km,Monovolume,Manual,,,
8738,2010,Diesel,Usados,8055009924,Peugeot,,Nacional,90 cv,144 000 km,Carrinha,Manual,,,
8739,2017,Diesel,Usados,8075740967,Peugeot,,Importado,120 cv,156 611 km,Utilitário,Manual,,Classe 1,
8740,2019,Gasolina,Usados,8072858322,Renault,44513,,115 cv,12 610 km,Carrinha,Manual,Sim,,
8741,2008,Diesel,Usados,8067785234,Ford,,Nacional,125 cv,234 000 km,Carrinha,Manual,Sim,Classe 1,
8742,2014,Diesel,Usados,8073113854,Opel,,,90 cv,207 000 km,Carrinha,,,,
8743,2011,Diesel,Usados,8073085290,Chevrolet,,Nacional,163 cv,150 000 km,Sedan,Manual,Sim,Classe 1,
8744,2020,Eléctrico,Novos,8075598060,Kia,,Nacional,204 cv,1 km,SUV / TT,Automática,Sim,,
8745,2011,Diesel,Usados,8065830288,SEAT,,,75 cv,96 000 km,Citadino,,,,
8746,2012,Diesel,Usados,8072372284,Peugeot,,,112 cv,155 000 km,SUV / TT,Automática,,Classe 1,
8747,2010,Gasolina,Usados,8047228361,MINI,,,211 cv,74 942 km,Cabrio,Manual,Sim,Classe 1,
8748,2019,Gasolina,Usados,8072858340,Renault,44526,,140 cv,12 345 km,Carrinha,Manual,Sim,,
8749,2016,Diesel,Usados,8061653929,Peugeot,00-00-00,,150 cv,181 700 km,Carrinha,Manual,,,
8750,2011,Diesel,Usados,8073085290,Chevrolet,,Nacional,163 cv,150 000 km,Sedan,Manual,Sim,Classe 1,
8751,2020,Gasolina,Novos,8075592857,Kia,,Nacional,120 cv,1 km,Carrinha,Manual,Sim,Classe 1,
8752,2014,Diesel,Usados,8075683640,Renault,,Importado,90 cv,190 000 km,Carrinha,Manual,,Classe 1,
