,Ano de Registo,Combustível,Condição,ID,Marca,Matrícula,Origem,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Classe do veículo,Série
2045,2019,Gasolina,Usados,8075482056,Renault,81-XJ-28,,140 cv,13 523 km,Carrinha,Manual,Sim,,
2046,2019,Diesel,Usados,8075482115,Renault,71-XG-61,,115 cv,17 380 km,SUV / TT,Manual,Sim,,
2047,2019,Gasolina,Usados,8075482123,Renault,47-XM-43,,90 cv,17 434 km,SUV / TT,Manual,Sim,,
2048,2019,Gasolina,Usados,8075482049,Renault,81-XJ-32,,115 cv,14 150 km,Carrinha,Manual,Sim,,
2049,2019,Gasolina,Usados,8075482185,Renault,52-XM-31,,90 cv,18 161 km,SUV / TT,Manual,Sim,,
2050,2017,Diesel,Usados,8075482166,Nissan,42-TF-34,,110 cv,37 000 km,SUV / TT,Manual,Sim,,
2051,2019,Gasolina,Usados,8075482158,Renault,35-XJ-03,,90 cv,17 327 km,Carrinha,Manual,Sim,,
2052,2010,Gasolina,Usados,8063996986,Peugeot,,,156 cv,118 720 km,Coupé,Manual,Sim,Classe 1,
2053,2007,Gasolina,Usados,8043562444,MINI,,,130 cv,80 000 km,Citadino,Manual,Sim,,
2054,2019,Gasolina,Usados,8075482205,Renault,34-XH-49,,90 cv,17 915 km,Carrinha,Manual,Sim,,
2055,2015,Diesel,Usados,8074694466,BMW,55-QM-86,Nacional,116 cv,39 865 km,SUV / TT,Manual,,Classe 1,Série 2
2056,2011,Diesel,Usados,8052833981,Mercedes-Benz,96-MH-47,Nacional,204 cv,152 788 km,Cabrio,Automática,Sim,,Classe E
2057,2019,Gasolina,Usados,8075482246,Renault,73-XG-76,,140 cv,14 897 km,Carrinha,Manual,Sim,,
2058,2016,Diesel,Usados,8075482131,Renault,70-RN-41,,125 cv,97 879 km,Monovolume,Manual,Sim,,
2059,2018,Diesel,Usados,8075482223,Renault,93-UT-78,,110 cv,34 908 km,Monovolume,Manual,Sim,,
2060,2019,Gasolina,Usados,8075482173,Renault,42-XH-68,,70 cv,14 273 km,Pequeno citadino,Manual,Sim,,
2061,2011,Diesel,Usados,8063820358,VW,,Nacional,105 cv,160 000 km,Carrinha,Manual,,,
2062,2019,Gasolina,Usados,8075482076,Renault,79-XJ-30,,140 cv,10 454 km,Carrinha,Manual,Sim,,
2063,2019,Diesel,Usados,8075482253,Renault,71-XG-72,,115 cv,20 339 km,Carrinha,Manual,Sim,,
2064,2019,Gasolina,Usados,8075482149,Renault,48-XM-96,,90 cv,14 368 km,SUV / TT,Manual,Sim,,
2065,2015,Diesel,Usados,8071051001,Audi,11-QS-04,Nacional,150 cv,53 732 km,Sedan,Manual,,,
2066,2015,Diesel,Usados,8074694466,BMW,55-QM-86,Nacional,116 cv,39 865 km,SUV / TT,Manual,,Classe 1,Série 2
2067,2019,Diesel,Usados,8075482240,Renault,71-XG-51,,115 cv,10 539 km,SUV / TT,Manual,Sim,,
2068,2010,Diesel,Usados,8075626366,Volvo,,,110 cv,100 000 km,Carrinha,,,,
2069,2011,Gasolina,Usados,8058057927,BMW,44-MO-05,,183 cv,109 248 km,Cabrio,Manual,,,Série Z
2070,2019,Diesel,Usados,8075482089,Renault,71-XG-56,,115 cv,18 080 km,Carrinha,Manual,Sim,,
2071,2017,Diesel,Usados,8074040892,Renault,,Nacional,110 cv,137 075 km,Carrinha,Manual,,,
2072,2019,Gasolina,Usados,8075482062,Renault,73-XD-55,,90 cv,22 026 km,SUV / TT,Manual,Sim,,
2073,2018,Diesel,Usados,8075482097,Renault,00-VT-52,,110 cv,27 773 km,Sedan,Manual,Sim,,
2074,2010,Diesel,Usados,8075626366,Volvo,,,110 cv,100 000 km,Carrinha,,,,
2075,2019,Gasolina,Usados,8075482217,Renault,83-XL-23,,140 cv,11 162 km,Carrinha,Manual,Sim,,
2076,2018,Gasolina,Usados,8075482195,Renault,94-VG-33,,90 cv,20 286 km,Citadino,Manual,Sim,,
2077,2019,Gasolina,Usados,8075482106,Renault,99-XR-17,,90 cv,9 985 km,Citadino,Manual,Sim,,
2078,2019,Gasolina,Usados,8075482232,Renault,95-XF-91,,90 cv,13 658 km,Carrinha,Manual,Sim,,
2079,2009,Gasolina,Usados,8073980813,Fiat,,Nacional,105 cv,122 000 km,Citadino,Manual,,Classe 1,
2080,2017,Gasolina,Usados,8075708522,Ford,05-TV-42,Nacional,125 cv,35 000 km,Utilitário,Manual,,Classe 1,
2081,2018,Gasolina,Usados,8071221709,Fiat,,Nacional,69 cv,49 622 km,Pequeno citadino,Manual,,Classe 1,
2082,2019,Gasolina,Usados,8075482352,Renault,69-XD-99,,90 cv,19 532 km,Citadino,Manual,Sim,,
