,0,3
843,8075191117,6 950
844,8074871111,5 500
845,8071553020,24 350
846,8071562274,24 990
847,8074630911,7 000
848,8062051785,31 000
849,8072540279,5 900
850,8071802092,27 490
851,8068245577,35 999
852,8070324349,9 500
853,8063168041,31 749
854,8058479143,28 999
855,8066581480,26 749
856,8070454102,25 999
857,8067880102,18 000
858,8074868296,9 150
859,8071802137,18 000
860,8075174154,19 900
861,8072320800,15 500
862,8071578520,25 900
863,8074946743,13 500
864,8054810445,10 500
865,8035986941,12 990
866,8073896654,34 900
867,8059540435,12 500
868,8074438624,9 875
869,8068193742,22 990
870,8070491716,8 500
871,8065366957,16 499
872,8071557786,14 800
873,8075062228,11 200
874,8071489906,2 800
875,8057432550,6 950
876,8063749405,5 500
877,8072647686,24 350
878,8073540353,24 990
879,8071557806,7 000
880,8061024160,31 000
881,8073034223,5 900
882,8038366077,27 490
883,8071553532,35 999
884,8036355878,9 500
885,8071459883,31 749
886,8075623642,28 999
887,8073539031,26 749
888,8069861181,25 999
889,8074868697,18 000
890,8071493517,9 150
891,8071346192,18 000
892,8075280414,19 900
893,8072224002,15 500
894,8075279210,25 900
895,8074557069,13 500
896,8075279210,10 500
897,8074557069,12 990
898,8068300326,34 900
899,8075277824,12 500
900,8071250226,9 875
901,8059193607,22 990
902,8074153446,8 500
903,8071228209,16 499
904,8075274236,14 800
905,8067417343,11 200
906,8060474908,2 800
907,8055724139,6 950
908,8059523241,5 500
909,8067143459,24 350
910,8064410407,24 990
911,8047174887,7 000
912,8070366521,31 000
913,8075503037,5 900
914,8067056800,27 490
915,8053297580,35 999
916,8050762981,9 500
917,8063497002,31 749
918,8074439360,28 999
919,8074439033,26 749
920,8060377741,25 999
921,8054074143,18 000
922,8074061418,9 150
923,8060377749,18 000
924,8074854570,19 900
925,8073889880,15 500
926,8072339659,25 900
927,8074974799,13 500
928,8051620870,10 500
929,8072338756,12 990
930,8067448612,34 900
931,8053801650,12 500
932,8074972633,9 875
933,8072362451,22 990
934,8062975205,8 500
935,8072367387,16 499
936,8074972092,14 800
937,8036840580,11 200
938,8061862769,2 800
939,8071307053,6 950
940,8067324696,5 500
941,8074970737,24 350
942,8069148387,24 990
943,8073889772,7 000
944,8043373798,31 000
945,8046610263,5 900
946,8062584292,27 490
947,8071198498,35 999
948,8058274830,9 500
949,8044013413,31 749
950,8073089114,28 999
951,8044087532,26 749
952,8074286531,25 999
953,8065064183,18 000
954,8050411131,9 150
955,8074867074,18 000
956,8050617633,19 900
957,8075501506,15 500
958,8068654407,25 900
959,8062479656,13 500
960,8053878110,10 500
961,8071815466,12 990
962,8074974189,34 900
963,8074060790,12 500
964,8045841384,9 875
965,8064338671,22 990
966,8057858574,8 500
967,8072615766,16 499
968,8073894142,14 800
969,8072541047,11 200
970,8065785432,2 800
971,8065663363,6 950
972,8070593520,5 500
973,8045683924,24 350
974,8005933305,24 990
975,8062345528,7 000
976,8075165964,31 000
977,8072255844,5 900
978,8059021432,27 490
979,8073539025,35 999
980,8074825977,9 500
981,8074683153,31 749
982,8074060644,28 999
983,8073700821,26 749
984,8064033087,25 999
985,8061233251,18 000
986,8051352443,9 150
987,8074867782,18 000
988,8070791447,19 900
989,8071215761,15 500
990,8044099914,25 900
991,8070058620,13 500
992,8049348022,10 500
993,8060758235,12 990
994,8057777514,34 900
995,8074539386,12 500
996,8056943107,9 875
997,8072533499,22 990
998,8072162476,8 500
999,8074622886,16 499
1000,8072815028,14 800
1001,8016983724,11 200
1002,8071367775,2 800
1003,8067552497,6 950
1004,8062078490,5 500
1005,8074693107,24 350
1006,8061817048,24 990
1007,8060087965,7 000
1008,8072571917,31 000
1009,8072807345,5 900
1010,8073198296,27 490
1011,8063374906,35 999
1012,8069328141,9 500
1013,8074052239,31 749
1014,8067937944,28 999
1015,8070782532,26 749
1016,8071846730,25 999
1017,8067429862,18 000
1018,8044959067,9 150
1019,8072874490,18 000
1020,8044958714,19 900
1021,8060919617,15 500
1022,8062860823,25 900
1023,8074708051,13 500
1024,8074566727,10 500
1025,8072113547,12 990
1026,8074866777,34 900
1027,8062081793,12 500
1028,8037353998,9 875
1029,8070058640,22 990
1030,8058665018,8 500
1031,8070569310,16 499
1032,8070578333,14 800
1033,8070581644,11 200
1034,8072108405,2 800
1035,8072110655,6 950
1036,8063731273,5 500
1037,8063728020,24 350
1038,8073801528,24 990
1039,8054253218,7 000
1040,8062170270,31 000
1041,8039832077,5 900
1042,8054064478,27 490
1043,8074866309,35 999
1044,8057331656,9 500
1045,8071938665,31 749
1046,8061464251,28 999
1047,8075368458,26 749
1048,8071906906,25 999
1049,8053252265,18 000
1050,8070462277,9 150
1051,8073700025,18 000
1052,8074219789,19 900
1053,8037933423,15 500
1054,8056066837,25 900
1055,8061314021,13 500
1056,8072916270,10 500
1057,8074866447,12 990
1058,8065875119,34 900
1059,8066377066,12 500
1060,8066561671,9 875
1061,8067586295,22 990
1062,8075486974,8 500
1063,8074632564,16 499
1064,8075486190,14 800
1065,8073697874,11 200
1066,8070349088,2 800
1067,8075178036,6 950
1068,8074051212,5 500
1069,8073025112,24 350
1070,8072810762,24 990
1071,8071221709,7 000
1072,8073763710,31 000
1073,8074402523,5 900
1074,8029703271,27 490
1075,8074189034,35 999
1076,8074401414,9 500
1077,8072193638,31 749
1078,8069721408,28 999
1079,8061646888,26 749
1080,8074845730,25 999
1081,8074401565,18 000
1082,8073619507,9 150
1083,8003338330,18 000
1084,8052272344,19 900
1085,8074283033,15 500
1086,8071918118,25 900
1087,8073617781,13 500
1088,8023993446,10 500
1089,8074059511,12 990
1090,8071908642,34 900
1091,8036286396,12 500
1092,8073448596,9 875
1093,8058599803,22 990
1094,8064223563,8 500
1095,8074633256,16 499
1096,8064029427,14 800
1097,8074529393,11 200
1098,8065802089,2 800
1099,8047959580,6 950
1100,8072375036,5 500
1101,8040409968,24 350
1102,8068839744,24 990
1103,8072326365,7 000
1104,8067742595,31 000
1105,8072328784,5 900
1106,8072647260,27 490
1107,8004168820,35 999
1108,8071207369,9 500
1109,8070343859,31 749
1110,8004169450,28 999
1111,8074497331,26 749
1112,8073975023,25 999
1113,8073763607,18 000
1114,8072643777,9 150
1115,8072060883,18 000
1116,8073801133,19 900
1117,8074190752,15 500
1118,8074499242,25 900
1119,8070668883,13 500
1120,8073430944,10 500
1121,8073878400,12 990
1122,8055734419,34 900
1123,8074607512,12 500
1124,8069399606,9 875
1125,8074524542,22 990
1126,8073536066,8 500
1127,8072649208,16 499
1128,8040391309,14 800
1129,8026572390,11 200
1130,8069215198,2 800
1131,8062780500,6 950
1132,8067782588,5 500
1133,8074057885,24 350
1134,8011106265,24 990
1135,8074862114,7 000
1136,8075366686,31 000
1137,8070316563,5 900
1138,8070635135,27 490
1139,8068142637,35 999
1140,8072158714,9 500
1141,8069227950,31 749
1142,8074283919,28 999
1143,8074507473,26 749
1144,8073765034,25 999
1145,8073274518,18 000
1146,8073763792,9 150
1147,8070215450,18 000
1148,8074283219,19 900
1149,8074489304,15 500
1150,8073863482,25 900
1151,8070562027,13 500
1152,8070561937,10 500
1153,8071297979,12 990
1154,8069407450,34 900
1155,8069221812,12 500
1156,8072325960,9 875
1157,8070445008,22 990
1158,8070642336,8 500
1159,8072162577,16 499
1160,8070976514,14 800
