,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
375,2017,,Diesel,Usados,8070443598,Fiat,95 cv,61 753 km,Carrinha,Manual,Sim,17UB76,,
376,2005,,Diesel,Usados,8074232912,Volvo,110 cv,240 000 km,Carrinha,,Sim,,,
377,2011,Classe 1,Diesel,Usados,8075540577,Audi,143 cv,82 080 km,Carrinha,Manual,,,,Nacional
378,2011,Classe 1,Diesel,Usados,8075540577,Audi,143 cv,82 080 km,Carrinha,Manual,,,,Nacional
379,2009,Classe 1,Híbrido (Gasolina),Usados,8067408600,Toyota,100 cv,71 500 km,Sedan,Automática,,,,Nacional
380,2015,Classe 1,Diesel,Usados,8070777927,BMW,116 cv,93 100 km,Utilitário,Manual,Sim,,Série 1,
381,2015,,Diesel,Usados,8071906859,Audi,110 cv,91 815 km,Utilitário,Manual,Sim,60QN32,,
382,2018,,Gasolina,Usados,8065862500,Porsche,420 cv,7 000 km,Cabrio,Automática,Sim,00-00-00,911 (Todos),
383,2018,,Gasolina,Usados,8065862500,Porsche,420 cv,7 000 km,Cabrio,Automática,Sim,00-00-00,911 (Todos),
384,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
385,2018,,Diesel,Usados,8073687480,Citroën,102 cv,37 050 km,Utilitário,Manual,Sim,98VN51,,
386,2010,,Diesel,Usados,8074832265,Toyota,117 cv,160 000 km,Monovolume,Manual,,,,
387,2018,,Diesel,Usados,8070355597,Alfa Romeo,120 cv,40 000 km,Utilitário,Automática,,,,Nacional
388,2018,,Diesel,Usados,8073273792,Audi,150 cv,34 494 km,Sedan,Manual,Sim,47UL44,,
389,2005,,Diesel,Usados,8074852862,SEAT,75 cv,242 000 km,Citadino,,,,,
390,2018,,Gasolina,Usados,8072854694,Fiat,69 cv,15 223 km,Pequeno citadino,Automática,,87VU83,,
391,2017,,Diesel,Usados,8075362444,Mercedes-Benz,194 cv,96 800 km,Carrinha,Automática,Sim,,Classe E,
392,2009,Classe 1,Gasolina,Usados,8053397314,Nissan,115 cv,117 060 km,SUV / TT,Manual,,,,Nacional
393,2013,Classe 1,Diesel,Usados,8072926213,Opel,95 cv,203 000 km,Citadino,Manual,,,,Nacional
394,2015,,Diesel,Usados,8073885799,Volvo,114 cv,72 900 km,Utilitário,Manual,,,,Importado
395,2018,,Diesel,Usados,8069397064,BMW,116 cv,10 351 km,Utilitário,Manual,Sim,45VA28,Série 1,
396,2019,,Diesel,Usados,8069282734,Volvo,150 cv,12 076 km,Carrinha,Manual,,64-XI-71,,Nacional
397,2005,,Diesel,Usados,8074056921,Smart,41 cv,157 851 km,Pequeno citadino,,,,,
398,2016,,Diesel,Usados,8064374140,Jaguar,180 cv,41 300 km,Sedan,Automática,,73-RL-07,,Nacional
399,2018,,Diesel,Usados,8002265595,Alfa Romeo,120 cv,30 000 km,Utilitário,Manual,,,,Nacional
400,2017,Classe 1,Diesel,Usados,8066209746,Citroën,120 cv,22 650 km,Utilitário,Automática,,,,
401,2002,Classe 1,Diesel,Usados,8061089961,Hyundai,112 cv,240 000 km,Monovolume,Manual,,,,Nacional
402,2009,,Diesel,Usados,8073887353,Ford,140 cv,228 511 km,Carrinha,Manual,,,,Nacional
403,2018,,Diesel,Usados,8073767329,Citroën,102 cv,38 561 km,Utilitário,Manual,Sim,38VL61,,
404,2019,,Diesel,Usados,8069238351,Fiat,95 cv,12 000 km,SUV / TT,Manual,,,,Nacional
405,2014,Classe 1,Diesel,Usados,8074057195,BMW,200 cv,103 000 km,Coupé,Automática,,,Série 1,
406,2015,Classe 1,Diesel,Usados,8074216755,BMW,190 cv,88 790 km,Carrinha,Automática,,65-PU-05,Série 5,Nacional
407,2006,Classe 1,Gasolina,Usados,8074217647,Smart,61 cv,99 000 km,Pequeno citadino,Automática,,,,Nacional
408,2017,Classe 1,Diesel,Usados,8067893570,Peugeot,120 cv,110 000 km,SUV / TT,Manual,,,,Importado
409,2016,,Diesel,Usados,8074604159,Audi,150 cv,112 338 km,Sedan,Manual,Sim,29RX27,,
410,2009,Classe 1,Gasolina,Usados,8053397314,Nissan,115 cv,117 060 km,SUV / TT,Manual,,,,Nacional
411,2015,,Diesel,Usados,8059473697,Mercedes-Benz,80 cv,110 000 km,Utilitário,Automática,,,Classe B,
412,2014,Classe 1,Eléctrico,Usados,8075174087,Tesla,367 cv,115 000 km,Sedan,Automática,,,,
413,2016,,Diesel,Usados,8075422269,Renault,90 cv,120 000 km,Citadino,Manual,,,,
414,2016,Classe 1,Gasolina,Usados,8068693274,Ford,69 cv,52 000 km,Pequeno citadino,Manual,Sim,63-RD-50,,Nacional
415,2019,Classe 1,Diesel,Usados,8074859390,Nissan,115 cv,2 057 km,SUV / TT,Manual,,,,
416,2019,Classe 1,Diesel,Usados,8075586393,Renault,90 cv,17 000 km,Carrinha,Manual,,,,Nacional
417,2012,Classe 1,Diesel,Usados,8072917340,BMW,190 cv,107 000 km,Carrinha,Manual,Sim,,Série 3,Nacional
418,2016,Classe 1,Diesel,Usados,8049559622,Audi,150 cv,95 000 km,SUV / TT,Manual,,,,Nacional
419,2016,Classe 1,Diesel,Usados,8070754492,Skoda,90 cv,70 362 km,Citadino,Manual,Sim,20-RA-95,,Nacional
420,2017,Classe 1,Diesel,Usados,8072291594,BMW,190 cv,25 838 km,Sedan,Automática,,,Série 4,Nacional
421,2009,Classe 1,Diesel,Usados,8074887078,Dodge,140 cv,240 000 km,SUV / TT,Automática,Sim,,,Nacional
422,2011,Classe 1,Diesel,Usados,8074856249,Opel,170 cv,127 000 km,Utilitário,Manual,,,,Nacional
423,2015,Classe 1,Diesel,Usados,8073896056,Mercedes-Benz,116 cv,118 000 km,Carrinha,Manual,,,Classe C,Nacional
424,2013,Classe 1,Gasolina,Usados,8074853654,VW,460 cv,77 500 km,Utilitário,Automática,,,,
425,1993,Classe 2,Diesel,Usados,8061085044,Nissan,78 cv,344 000 km,SUV / TT,Manual,,,,Nacional
426,2013,Classe 1,Diesel,Usados,8051715052,VW,140 cv,155 000 km,Carrinha,Manual,,,,Nacional
