,Ano de Registo,Classe do veículo,Combustível,Condição,ID,Marca,Potência,Quilómetros,Segmento,Tipo de Caixa,Valor Fixo,Matrícula,Série,Origem
728,2013,,Diesel,Usados,8065788146,Peugeot,115 cv,176 500 km,Carrinha,Automática,,,,
729,2017,,Diesel,Usados,8067796192,Renault,110 cv,48 896 km,Carrinha,Automática,Sim,,,
730,2017,,Diesel,Usados,8069983251,Renault,90 cv,76 000 km,Citadino,Manual,,,,Nacional
731,2014,Classe 1,Híbrido (Gasolina),Usados,8060419806,Toyota,136 cv,100 000 km,Carrinha,Automática,,,,
732,2002,Classe 1,Diesel,Usados,8074613846,Mercedes-Benz,143 cv,299 000 km,Carrinha,Manual,,,Classe C,
733,2013,Classe 1,Diesel,Usados,8051715052,VW,140 cv,155 000 km,Carrinha,Manual,,,,Nacional
734,2010,Classe 1,Diesel,Usados,8074614838,MINI,90 cv,153 000 km,Citadino,Manual,,,,
735,2018,,Diesel,Usados,8075186325,SEAT,115 cv,54 303 km,Carrinha,Manual,Sim,46725,,
736,2002,,Diesel,Usados,8067547312,Opel,125 cv,231 254 km,Monovolume,Manual,Sim,,,Nacional
737,2018,Classe 1,Diesel,Usados,8066567011,VW,150 cv,23 643 km,Carrinha,Automática,,,,
738,2015,Classe 1,Híbrido (Gasolina),Usados,8073267320,Mitsubishi,204 cv,133 000 km,SUV / TT,Automática,,,,
739,2018,,Gasolina,Usados,8075186323,Renault,90 cv,26 531 km,SUV / TT,Manual,Sim,47650,,
740,2015,,Diesel,Usados,8074497367,Citroën,120 cv,166 976 km,Monovolume,Manual,Sim,60-ZP-96,,
741,2019,,Gasolina,Usados,8075186265,Renault,90 cv,19 056 km,Carrinha,Manual,Sim,45437,,
742,2017,Classe 1,Diesel,Usados,8073521977,Mercedes-Benz,134 cv,68 200 km,Carrinha,Automática,,70-SR-74,Classe C,Nacional
743,2018,,Gasolina,Usados,8074939671,Renault,90 cv,22 598 km,Citadino,Manual,Sim,46793,,
744,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
745,2013,Classe 1,Diesel,Usados,8051715052,VW,140 cv,155 000 km,Carrinha,Manual,,,,Nacional
746,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
747,2016,,Diesel,Usados,8059414879,BMW,190 cv,149 984 km,Coupé,Automática,Sim,,Série 4,
748,2018,,Gasolina,Usados,8073522516,Porsche,462 cv,24 000 km,SUV / TT,Automática,,,,
749,2013,Classe 1,Diesel,Usados,8064550967,Peugeot,90 cv,105 000 km,Citadino,Automática,,,,
750,2016,,Diesel,Usados,8059308013,BMW,116 cv,139 955 km,Citadino,Automática,Sim,,Série 1,Importado
751,2006,Classe 2,Diesel,Usados,8074044586,Audi,240 cv,197 000 km,SUV / TT,Automática,,43-CM-80,,Nacional
752,2014,,Diesel,Usados,8065718791,Citroën,75 cv,46 348 km,Citadino,,Sim,,,
753,2018,Classe 1,Diesel,Usados,8066567011,VW,150 cv,23 643 km,Carrinha,Automática,,,,
754,2010,Classe 1,Diesel,Usados,8075343424,Mercedes-Benz,204 cv,230 000 km,Carrinha,Manual,,,Classe E,Nacional
755,2009,Classe 1,Diesel,Usados,8073522570,Audi,105 cv,150 500 km,Carrinha,Manual,,75-IF-74,,Nacional
756,2011,,Diesel,Usados,8075347563,Kia,128 cv,203 000 km,Carrinha,,Sim,,,
757,2019,,Gasolina,Usados,8075186315,Renault,90 cv,14 084 km,Citadino,Manual,Sim,47643,,
758,2007,Classe 1,Diesel,Usados,8075736744,Mercedes-Benz,109 cv,212 000 km,Monovolume,Automática,,,Classe A,Importado
759,2014,,Diesel,Usados,8074041792,Peugeot,100 cv,141 293 km,SUV / TT,Automática,Sim,,,
760,2017,Classe 1,Diesel,Usados,8058921166,Jaguar,180 cv,87 000 km,Sedan,Automática,Sim,,,Importado
761,2011,Classe 1,Diesel,Usados,8058035279,SEAT,90 cv,161 388 km,Monovolume,Manual,,,,
762,2009,Classe 1,Diesel,Usados,8072564622,VW,110 cv,155 000 km,Utilitário,Manual,,,,
763,2014,,Diesel,Usados,8066750140,Peugeot,120 cv,140 000 km,Utilitário,Manual,,,,
764,2008,,Diesel,Usados,8074833726,Smart,45 cv,180 000 km,Pequeno citadino,,,,,
765,2005,Classe 2,Diesel,Usados,8068838911,Land Rover,190 cv,84 390 km,SUV / TT,Manual,Sim,,,Nacional
766,2014,Classe 1,Diesel,Usados,8070379353,Mercedes-Benz,109 cv,167 500 km,Utilitário,Manual,,45-UT-64,Classe A,Importado
767,2017,,Diesel,Usados,8054159798,Mercedes-Benz,109 cv,34 700 km,Utilitário,Manual,Sim,,Classe A,
768,2018,,Gasolina,Usados,8075186356,VW,75 cv,43 796 km,Citadino,Manual,Sim,46953,,
769,2007,Classe 1,Diesel,Usados,8075736744,Mercedes-Benz,109 cv,212 000 km,Monovolume,Automática,,,Classe A,Importado
770,2011,,Gasolina,Usados,8071850412,Toyota,69 cv,88 950 km,Citadino,,,,,
771,2011,Classe 1,Diesel,Usados,8073141618,Alfa Romeo,95 cv,116 230 km,Utilitário,Manual,Sim,,,
772,2015,Classe 1,Diesel,Usados,8059534135,Volvo,115 cv,77 495 km,Utilitário,Manual,Sim,,,
773,2011,Classe 1,Diesel,Usados,8073141618,Alfa Romeo,95 cv,116 230 km,Utilitário,Manual,Sim,,,
774,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
775,2016,,Diesel,Usados,8065748403,BMW,150 cv,168 534 km,Citadino,Manual,,,Série 1,
776,2015,,Diesel,Usados,8043568499,BMW,190 cv,168 881 km,Carrinha,Automática,,,Série 3,
777,2014,Classe 1,Diesel,Usados,8073519794,Ford,140 cv,166 000 km,Carrinha,Manual,,,,Nacional
778,2018,,Gasolina,Usados,8057775819,Renault,90 cv,11 000 km,SUV / TT,Manual,,,,
779,2005,Classe 2,Diesel,Usados,8072673761,Land Rover,190 cv,325 000 km,SUV / TT,Automática,,51-SA-28,,Importado
780,2016,Classe 1,Eléctrico,Usados,8070988465,Nissan,110 cv,29 966 km,Utilitário,Automática,Sim,,,
781,2016,Classe 1,Eléctrico,Usados,8070988465,Nissan,110 cv,29 966 km,Utilitário,Automática,Sim,,,
782,2015,Classe 1,Diesel,Usados,8071240056,Opel,95 cv,159 029 km,Citadino,Manual,Sim,47-VX-69,,
783,2015,,Gasolina,Usados,8071237224,Porsche,340 cv,93 777 km,SUV / TT,,,,,
784,2015,,Diesel,Usados,8074054939,Peugeot,120 cv,163 989 km,Carrinha,Manual,Sim,,,
785,2011,Classe 1,Diesel,Usados,8074565670,Ford,110 cv,169 000 km,Utilitário,Manual,,,,
786,2008,,Diesel,Usados,8073519420,Ford,125 cv,286 400 km,Carrinha,Manual,,,,
787,2018,,Gasolina,Usados,8061466932,SEAT,75 cv,20 695 km,Utilitário,Manual,,85-UN-29,,Nacional
788,2013,Classe 1,Diesel,Usados,8000578294,Mercedes-Benz,170 cv,109 673 km,Coupé,Automática,Sim,,Classe CLA,
789,2017,Classe 1,Gasolina,Usados,8069272128,Renault,100 cv,21 000 km,Citadino,Manual,,,,
790,2005,Classe 1,Gasolina,Usados,8074830195,Mercedes-Benz,95 cv,98 950 km,Utilitário,Automática,,,Classe A,
791,2005,Classe 1,Diesel,Usados,8074041467,Toyota,90 cv,274 000 km,Utilitário,Manual,,,,
792,2016,,Diesel,Usados,8046729266,BMW,150 cv,161 555 km,Monovolume,Manual,,,Série 2,Importado
793,2009,Classe 1,Diesel,Usados,8074565006,BMW,245 cv,215 000 km,Sedan,Automática,,,Série 7,
794,2016,Classe 1,Gasolina,Usados,8047887334,Honda,100 cv,35 987 km,Utilitário,Manual,Sim,,,
795,2015,Classe 1,Diesel,Usados,8065239873,Peugeot,120 cv,146 300 km,Carrinha,Manual,,,,
796,2016,Classe 1,Eléctrico,Usados,8070988465,Nissan,110 cv,29 966 km,Utilitário,Automática,Sim,,,
797,2015,Classe 1,Diesel,Usados,8075342456,BMW,116 cv,88 000 km,Utilitário,Manual,,,Série 1,
798,2012,,Diesel,Usados,8061557035,MINI,90 cv,94 800 km,Citadino,,,,,
799,2017,Classe 1,Diesel,Usados,8070881614,BMW,116 cv,42 000 km,Utilitário,Manual,,,Série 1,
800,2018,,Gasolina,Usados,8061466932,SEAT,75 cv,20 695 km,Utilitário,Manual,,85-UN-29,,Nacional
801,2010,Classe 1,Diesel,Usados,8066035604,Nissan,150 cv,197 500 km,SUV / TT,Manual,Sim,,,Nacional
802,2019,,Gasolina,Usados,8075275066,Renault,70 cv,7 191 km,Pequeno citadino,Manual,Sim,47892,,
803,2008,,Diesel,Usados,8070742089,Mercedes-Benz,170 cv,256 000 km,Carrinha,,,,Classe C,
804,2015,Classe 1,Diesel,Usados,8073535786,Mercedes-Benz,110 cv,99 000 km,Utilitário,Automática,,,Classe A,
805,1999,,GPL,Usados,8074041695,Honda,128 cv,319 km,SUV / TT,,,,,
806,2017,,Diesel,Usados,8073977809,Peugeot,120 cv,179 998 km,SUV / TT,Manual,Sim,,,
807,2014,Classe 1,Gasolina,Usados,8074830493,BMW,431 cv,70 163 km,Coupé,Automática,,,Série 4,Nacional
808,2016,,Diesel,Usados,8073883512,Mercedes-Benz,109 cv,139 991 km,Carrinha,Manual,Sim,,Classe CLA,
809,2015,Classe 1,Diesel,Usados,8074833393,BMW,112 cv,143 500 km,Utilitário,Manual,,,Série 1,
810,2016,Classe 1,Diesel,Usados,8053900575,Mercedes-Benz,109 cv,59 000 km,Carrinha,Manual,,,Classe CLA,
811,2015,Classe 1,Diesel,Usados,8067777927,Ford,120 cv,76 000 km,Carrinha,Manual,Sim,00-00-00,,Nacional
812,2017,Classe 1,Diesel,Usados,8054928282,VW,150 cv,29 257 km,Monovolume,Automática,,34-TR-33,,Nacional
813,2009,,Diesel,Usados,8072008902,Audi,170 cv,210 000 km,Coupé,,,,,
814,2009,Classe 1,Diesel,Usados,8074607986,Citroën,92 cv,95 000 km,Utilitário,Manual,,20-IO-31,,Nacional
815,2009,Classe 1,Diesel,Usados,8046627941,Porsche,250 cv,273 000 km,SUV / TT,Automática,Sim,,,
816,2016,Classe 1,Eléctrico,Usados,8074941662,BMW,170 cv,45 880 km,Utilitário,Automática,,50-ZT-59,Série i,Importado
817,2017,Classe 1,Diesel,Usados,8070694720,Renault,110 cv,119 000 km,Monovolume,Manual,,,,
818,1972,Classe 2,Diesel,Usados,8075681500,Land Rover,75 cv,27 700 km,SUV / TT,Manual,Sim,,,
819,2017,Classe 1,Diesel,Usados,8074992761,Volvo,120 cv,48 385 km,Utilitário,Manual,,,,
820,2013,Classe 1,Diesel,Usados,8061981982,Renault,90 cv,199 000 km,Carrinha,Manual,,,,
821,2015,,Diesel,Usados,8072289216,Citroën,120 cv,178 000 km,Utilitário,,,,,
822,2011,,Diesel,Usados,8074791116,VW,90 cv,147 000 km,Citadino,Manual,,,,Nacional
823,2005,Classe 1,Diesel,Usados,8065824973,Nissan,115 cv,255 600 km,SUV / TT,Manual,,,,
824,1972,Classe 2,Diesel,Usados,8075681500,Land Rover,75 cv,27 700 km,SUV / TT,Manual,Sim,,,
825,2014,Classe 1,Diesel,Usados,8066204529,Mercedes-Benz,136 cv,188 000 km,Carrinha,Manual,Sim,,Classe C,Importado
826,2015,,Diesel,Usados,8042200892,Audi,150 cv,159 000 km,Carrinha,Manual,,,,
827,2017,Classe 1,Diesel,Usados,8066071047,Renault,110 cv,119 000 km,Monovolume,Manual,,,,
828,2015,Classe 1,Diesel,Usados,8071234192,MINI,95 cv,171 234 km,Citadino,Manual,Sim,98-PQ-01,,
829,2015,Classe 1,Diesel,Usados,8067777927,Ford,120 cv,76 000 km,Carrinha,Manual,Sim,00-00-00,,Nacional
830,2014,Classe 1,Diesel,Usados,8046610263,Volvo,114 cv,114 894 km,Carrinha,Manual,Sim,08-XL-11,,
831,2015,Classe 1,Diesel,Usados,8075692364,Peugeot,120 cv,107 200 km,Carrinha,Manual,,,,
832,2012,,Gasolina,Usados,8058388654,Peugeot,156 cv,89 000 km,Citadino,Manual,,,,
833,2013,,Diesel,Usados,8074771625,Mercedes-Benz,110 cv,105 000 km,Sedan,,,,Classe A,
834,2012,Classe 1,Diesel,Usados,8066544852,Renault,110 cv,133 000 km,Carrinha,Manual,,,,Nacional
835,2014,Classe 1,Diesel,Usados,8074212300,Peugeot,120 cv,65 000 km,SUV / TT,Manual,Sim,OZ,,Nacional
836,2018,Classe 1,Diesel,Usados,8064030219,VW,150 cv,7 211 km,Monovolume,Manual,,,,Nacional
837,2014,Classe 1,Diesel,Usados,8075600203,Volvo,190 cv,198 000 km,Utilitário,Manual,,,,Importado
838,2015,Classe 1,Diesel,Usados,8073535043,Audi,110 cv,60 000 km,Sedan,Manual,,,,
839,2018,Classe 1,Diesel,Usados,8074608048,VW,150 cv,46 000 km,Sedan,Automática,Sim,,,
840,2014,Classe 1,Diesel,Usados,8074147665,BMW,218 cv,260 000 km,SUV / TT,Automática,,,Série X,
841,2017,Classe 1,Diesel,Usados,8073610096,Renault,110 cv,139 000 km,Carrinha,Automática,,,,
842,2008,,Diesel,Usados,8073519420,Ford,125 cv,286 400 km,Carrinha,Manual,,,,
843,2015,Classe 1,Híbrido (Diesel),Usados,8060382722,Peugeot,200 cv,81 200 km,Carrinha,Automática,,,,
844,2017,Classe 1,Diesel,Usados,8074941588,Mercedes-Benz,170 cv,65 000 km,Sedan,Automática,,,Classe E,
845,2014,,Diesel,Usados,8074040710,Renault,95 cv,146 000 km,Carrinha,Manual,,,,
846,2014,,Diesel,Usados,8072259799,BMW,205 cv,153 000 km,Carrinha,Automática,Sim,,Série 3,
847,2014,Classe 1,Diesel,Usados,8066204529,Mercedes-Benz,136 cv,188 000 km,Carrinha,Manual,Sim,,Classe C,Importado
848,2002,Classe 1,Diesel,Usados,8075591800,Mercedes-Benz,143 cv,240 000 km,Carrinha,Manual,,,Classe C,
849,2016,Classe 1,Diesel,Usados,8073881200,MINI,102 cv,93 000 km,Citadino,Manual,,,,
850,2014,Classe 1,Diesel,Usados,8046610263,Volvo,114 cv,114 894 km,Carrinha,Manual,Sim,08-XL-11,,
851,2007,Classe 1,Gasolina,Usados,8070909977,Smart,71 cv,47 640 km,Pequeno citadino,Semi-automática,,,,Nacional
852,2014,Classe 1,Diesel,Usados,8075599380,BMW,184 cv,94 000 km,Coupé,Manual,,82/ZR/40,Série 1,Importado
853,2015,Classe 1,Diesel,Usados,8075063354,Citroën,115 cv,151 965 km,Monovolume,Manual,,,,Importado
854,2003,Classe 1,Gasolina,Usados,8059029984,Porsche,320 cv,105 000 km,Cabrio,Semi-automática,Sim,,911 (Todos),Importado
855,2004,Classe 1,GPL,Usados,8070327123,Subaru,245 cv,18 000 km,Sedan,Manual,,,,Nacional
856,2000,Classe 1,Diesel,Usados,8074513189,VW,75 cv,250 000 km,Citadino,Manual,,,,Nacional
857,2009,,Diesel,Usados,8074827137,Nissan,106 cv,155 000 km,SUV / TT,Manual,,,,
858,2013,Classe 1,Diesel,Usados,8074635340,Peugeot,70 cv,113 384 km,Citadino,Manual,Sim,16-NU-16,,Nacional
859,2012,Classe 1,Diesel,Usados,8046723009,Mercedes-Benz,204 cv,97 000 km,Carrinha,Automática,Sim,,Classe CLS,
860,2007,Classe 1,Gasolina,Usados,8070909977,Smart,71 cv,47 640 km,Pequeno citadino,Semi-automática,,,,Nacional
861,2012,,Diesel,Usados,8073865136,Peugeot,82 cv,167 310 km,Sedan,,,,,
862,2014,,Diesel,Usados,8075595232,SEAT,184 cv,141 000 km,Utilitário,Manual,Sim,,,
863,2011,Classe 1,Diesel,Usados,8071025773,MINI,112 cv,152 000 km,Citadino,Manual,,,,
864,2019,Classe 1,Diesel,Usados,8075629386,Nissan,115 cv,30 975 km,SUV / TT,Manual,,,,Nacional
865,2016,Classe 1,Diesel,Usados,8075254661,Peugeot,120 cv,88 734 km,Utilitário,Manual,,,,Importado
866,2015,Classe 1,Diesel,Usados,8073091872,Renault,90 cv,147 000 km,Carrinha,,Sim,,,Importado
867,2018,,Diesel,Usados,8062311980,Nissan,110 cv,11 000 km,SUV / TT,Manual,Sim,81-VQ-17,,Nacional
868,2016,Classe 1,Diesel,Usados,8075255058,DS,120 cv,114 139 km,Utilitário,Automática,,,,
869,2002,,Diesel,Usados,8074826486,VW,130 cv,340 000 km,Carrinha,,,,,
870,2019,Classe 1,Diesel,Usados,8075629386,Nissan,115 cv,30 975 km,SUV / TT,Manual,,,,Nacional
871,2017,,Diesel,Usados,8052686046,Nissan,177 cv,41 750 km,SUV / TT,Manual,Sim,66-SI-74,,Nacional
872,2015,Classe 1,Diesel,Usados,8072062848,Peugeot,120 cv,127 000 km,Carrinha,Manual,,,,
873,2018,Classe 1,Diesel,Usados,8064210189,VW,150 cv,24 400 km,SUV / TT,Automática,,,,Nacional
874,2013,,Eléctrico,Usados,8058326282,Nissan,110 cv,36 000 km,Utilitário,Automática,,,,
875,2018,Classe 1,Diesel,Usados,8065418466,MINI,170 cv,30 500 km,Citadino,Automática,,36-VE-33,,Nacional
876,2014,Classe 1,Híbrido (Gasolina),Usados,8070778969,Mitsubishi,203 cv,103 850 km,SUV / TT,Automática,Sim,,,Nacional
877,2012,Classe 1,Diesel,Usados,8071022861,BMW,165 cv,140 000 km,Carrinha,Manual,,,Série 3,
878,2011,Classe 1,Gasolina,Usados,8055935841,Smart,102 cv,70 200 km,Cabrio,Automática,,..-LO-..,,Nacional
879,2003,Classe 1,Diesel,Usados,8068724753,Smart,41 cv,242 000 km,Pequeno citadino,Automática,,,,Importado
880,2019,,Gasolina,Usados,8073483686,Nissan,100 cv,16 990 km,Citadino,Manual,Sim,47-XD-94,,Nacional
881,2007,Classe 1,Diesel,Usados,8074827874,Citroën,110 cv,156 881 km,Monovolume,Manual,,,,Nacional
882,2005,,Gasolina,Usados,8074828031,Smart,75 cv,114 000 km,Cabrio,,,,,
883,2015,Classe 1,Híbrido (Diesel),Usados,8062719154,Mercedes-Benz,231 cv,58 000 km,Carrinha,Automática,,,Classe C,
884,2012,Classe 1,Gasolina,Usados,8074827676,Renault,203 cv,56 000 km,Citadino,Manual,,,,
885,2014,Classe 1,Diesel,Usados,8075599380,BMW,184 cv,94 000 km,Coupé,Manual,,82/ZR/40,Série 1,Importado
886,2016,Classe 1,Diesel,Usados,8072484872,Peugeot,100 cv,65 672 km,Carrinha,Manual,Sim,63-RA-07,,Nacional
887,2017,,Gasolina,Usados,8054621790,Ford,320 cv,11 700 km,Coupé,Manual,Sim,,,
888,2014,,Diesel,Usados,8075595232,SEAT,184 cv,141 000 km,Utilitário,Manual,Sim,,,
889,2017,Classe 1,Gasolina,Usados,8061639362,Fiat,70 cv,58 000 km,Pequeno citadino,Manual,,,,Nacional
890,2016,Classe 1,Diesel,Usados,8066342628,Ford,120 cv,80 000 km,Utilitário,Manual,,,,Nacional
891,2015,Classe 1,Híbrido (Diesel),Usados,8057636157,Mercedes-Benz,231 cv,89 000 km,Carrinha,Automática,,,Classe E,
892,2016,Classe 1,Diesel,Usados,8072198660,Renault,110 cv,120 000 km,Carrinha,Manual,,,,
893,2017,Classe 1,Híbrido (Gasolina),Usados,8065230710,Toyota,122 cv,46 500 km,SUV / TT,Automática,,,,
894,2019,,Diesel,Usados,8073090589,Peugeot,130 cv,22 012 km,Monovolume,Manual,Sim,74-XC-14,,Nacional
895,2019,,Diesel,Usados,8073090589,Peugeot,130 cv,22 012 km,Monovolume,Manual,Sim,74-XC-14,,Nacional
896,2017,Classe 1,Diesel,Usados,8054917160,Peugeot,82 cv,76 877 km,Citadino,Manual,,,,Importado
897,2005,Classe 1,Diesel,Usados,8075515579,Mercedes-Benz,190 cv,184 000 km,Sedan,Automática,,00-00-00,Classe E,
898,2008,Classe 1,Gasolina,Usados,8073389988,Nissan,80 cv,155 000 km,Citadino,Manual,,00-00-00,,Nacional
899,2013,Classe 1,Diesel,Usados,8071303044,BMW,143 cv,197 885 km,Carrinha,Manual,Sim,44-RL-35,Série 3,
900,2010,Classe 1,Diesel,Usados,8074825287,VW,105 cv,147 000 km,Utilitário,Manual,,,,
901,2015,Classe 1,Diesel,Usados,8072062848,Peugeot,120 cv,127 000 km,Carrinha,Manual,,,,
902,2006,Classe 1,Diesel,Usados,8074865896,Opel,150 cv,263 900 km,Carrinha,Manual,,00-00-00,,Nacional
903,2016,Classe 1,Diesel,Usados,8075294893,Ford,150 cv,86 000 km,Monovolume,Manual,Sim,,,Nacional
904,2017,Classe 1,Diesel,Usados,8075166434,Renault,110 cv,95 000 km,Carrinha,Manual,,,,
905,1987,Classe 1,Gasolina,Usados,8060752975,BMW,170 cv,201 200 km,Coupé,Manual,Sim,,Série 3,Nacional
906,2017,Classe 1,Gasolina,Usados,8074824403,Mercedes-Benz,367 cv,45 000 km,Coupé,Automática,,65-UA-06,Classe C,Nacional
907,2015,,Diesel,Usados,8063510449,Mercedes-Benz,170 cv,179 000 km,Carrinha,,Sim,,Classe C,
908,2006,Classe 1,Diesel,Usados,8075515553,SEAT,105 cv,220 000 km,Utilitário,Manual,,00-00-00,,Nacional
909,2015,,Diesel,Usados,8071205220,VW,75 cv,71 754 km,Citadino,Manual,Sim,94QJ98,,
910,2008,Classe 1,Diesel,Usados,8075515614,Fiat,75 cv,148 000 km,Pequeno citadino,Manual,,00-00-00,,Nacional
911,2008,Classe 1,Gasolina,Usados,8074745798,Mazda,75 cv,74 600 km,Citadino,Manual,,,,Nacional
912,2017,Classe 1,Diesel,Usados,8075051496,Fiat,95 cv,23 600 km,SUV / TT,Manual,,,,
913,2015,Classe 1,Gasolina,Usados,8068256245,Fiat,85 cv,78 000 km,Pequeno citadino,Manual,,,,
914,2015,,Diesel,Usados,8075644339,Audi,110 cv,140 000 km,Sedan,,,,,
915,2011,Classe 1,Diesel,Usados,8040357222,Mazda,115 cv,159 000 km,Monovolume,Manual,,82-LG-43,,Nacional
916,2013,Classe 1,Diesel,Usados,8071303044,BMW,143 cv,197 885 km,Carrinha,Manual,Sim,44-RL-35,Série 3,
917,2003,Classe 1,GPL,Usados,8071541818,Opel,100 cv,187 000 km,Monovolume,Manual,,00-00-00,,Nacional
918,2014,Classe 1,Diesel,Usados,8054916632,Audi,105 cv,145 000 km,Utilitário,,,,,Importado
919,2016,Classe 1,Diesel,Usados,8074038717,BMW,190 cv,135 000 km,Coupé,Automática,,,Série 4,
920,2014,Classe 1,Diesel,Usados,8067349569,Volvo,115 cv,185 000 km,Carrinha,Manual,,,,Importado
921,2018,Classe 1,Gasolina,Usados,8075515471,Ford,85 cv,43 230 km,Citadino,Manual,,00-00-00,,Nacional
922,2010,,Diesel,Usados,8064218357,SEAT,80 cv,121 600 km,Citadino,Manual,,00-00-00,,Nacional
923,2011,Classe 1,Diesel,Usados,8072251244,Citroën,163 cv,187 000 km,Carrinha,Manual,,,,Nacional
924,2015,,Diesel,Usados,8075644339,Audi,110 cv,140 000 km,Sedan,,,,,
925,2015,Classe 1,Híbrido (Diesel),Usados,8064855856,Mercedes-Benz,204 cv,135 000 km,Carrinha,Automática,,,Classe C,
926,2015,,Diesel,Usados,8074038289,VW,110 cv,115 000 km,Utilitário,,,,,
927,2015,,Diesel,Usados,8071205220,VW,75 cv,71 754 km,Citadino,Manual,Sim,94QJ98,,
928,2015,Classe 1,Diesel,Usados,8074530276,BMW,116 cv,147 000 km,Citadino,Manual,,,Série 1,
929,2018,Classe 1,Gasolina,Usados,8067062217,Honda,129 cv,9 000 km,Utilitário,Manual,Sim,,,
930,2012,Classe 1,Diesel,Usados,8046723009,Mercedes-Benz,204 cv,97 000 km,Carrinha,Automática,Sim,,Classe CLS,
931,2007,,Gasolina,Usados,8043562444,MINI,130 cv,80 000 km,Citadino,Manual,Sim,,,
932,2016,Classe 1,Diesel,Usados,8058472190,Porsche,422 cv,50 000 km,Sedan,Automática,Sim,,,
933,2016,Classe 1,Gasolina,Usados,8074821973,Mercedes-Benz,381 cv,23 500 km,Carrinha,Automática,,,Classe CLA,Importado
934,2012,,Diesel,Usados,8058454246,Volvo,115 cv,104 300 km,Carrinha,Manual,Sim,,,Nacional
935,1989,Classe 1,Gasolina,Usados,8074523964,Toyota,80 cv,109 000 km,Sedan,Manual,,,,
936,2017,Classe 1,Diesel,Usados,8074532203,Peugeot,120 cv,44 600 km,Utilitário,Manual,Sim,,,Nacional
937,2014,Classe 1,Diesel,Usados,8072929673,SEAT,105 cv,113 000 km,Citadino,Manual,,,,
938,2014,Classe 1,Diesel,Usados,8070380012,Ford,115 cv,125 000 km,Carrinha,Manual,,,,Nacional
939,2019,Classe 1,Gasolina,Usados,8074271884,Fiat,120 cv,4 km,SUV / TT,Manual,,,,
940,2014,,Híbrido (Diesel),Usados,8057065477,Mercedes-Benz,231 cv,207 000 km,Carrinha,Automática,,,Classe E,
941,2012,,Diesel,Usados,8067995813,Jeep,200 cv,75 600 km,SUV / TT,,,,,
942,2016,Classe 1,Diesel,Usados,8071239114,Renault,110 cv,70 900 km,Carrinha,Manual,Sim,19-RO-23,,Nacional
943,2015,,Diesel,Usados,8050522913,Audi,136 cv,108 400 km,Carrinha,Automática,Sim,,,Nacional
944,2016,Classe 1,Diesel,Usados,8075745332,BMW,218 cv,60 400 km,Carrinha,Automática,Sim,,Série 5,Nacional
945,2016,Classe 1,Diesel,Usados,8075745332,BMW,218 cv,60 400 km,Carrinha,Automática,Sim,,Série 5,Nacional
946,2005,Classe 1,Diesel,Usados,8074036696,Volvo,109 cv,230 000 km,Sedan,Manual,,,,Nacional
947,2014,Classe 1,Diesel,Usados,8072929673,SEAT,105 cv,113 000 km,Citadino,Manual,,,,
948,1992,Classe 1,Gasolina,Usados,8058317820,Alfa Romeo,115 cv,69 900 km,Cabrio,Manual,,,,
949,2018,Classe 1,Diesel,Usados,8070603527,Opel,95 cv,29 100 km,Citadino,Manual,Sim,40-UE-70,,Nacional
950,2019,Classe 1,Gasolina,Usados,8074271884,Fiat,120 cv,4 km,SUV / TT,Manual,,,,
951,2013,Classe 1,Diesel,Usados,8071019743,Mercedes-Benz,265 cv,138 000 km,Carrinha,Automática,,,Classe CLS,
952,2007,Classe 1,Diesel,Usados,8059740023,Volvo,109 cv,111 000 km,Carrinha,Manual,Sim,,,Nacional
953,2008,Classe 1,Diesel,Usados,8054731874,BMW,286 cv,182 000 km,Coupé,Automática,,21-PC-14,Série 6,Importado
954,2007,,Gasolina,Usados,8043562444,MINI,130 cv,80 000 km,Citadino,Manual,Sim,,,
955,2004,Classe 1,Diesel,Usados,8069248764,Audi,105 cv,253 000 km,Utilitário,Manual,,,,Nacional
956,1992,Classe 1,Gasolina,Usados,8074523532,Ford,120 cv,131 800 km,Sedan,Manual,,,,
957,2018,Classe 1,Gasolina,Usados,8066664389,Alfa Romeo,220 cv,15 000 km,Sedan,Automática,,,,Nacional
958,2013,Classe 1,Híbrido (Diesel),Usados,8073859517,Peugeot,200 cv,157 000 km,Carrinha,Automática,,,,Nacional
959,2006,,Diesel,Usados,8064659974,Smart,40 cv,125 250 km,Pequeno citadino,Semi-automática,,,,
960,2013,Classe 1,Diesel,Usados,8070161751,Volvo,115 cv,162 000 km,Carrinha,Automática,,,,Nacional
961,2006,Classe 1,Diesel,Usados,8074494245,Alfa Romeo,150 cv,222 000 km,Sedan,Manual,,00-00-00,,Nacional
962,2015,,Diesel,Usados,8061895762,Audi,150 cv,96 000 km,Sedan,Manual,Sim,,,Nacional
963,2016,Classe 1,Diesel,Usados,8068727258,Mercedes-Benz,204 cv,105 000 km,Coupé,Automática,Sim,,Classe C,Nacional
