,Ano de Registo,Combustível,Condição,ID,Marca,Origem,Potência,Quilómetros,Segmento,Série,Tipo de Caixa
10066,2019,Gasolina,Usados,8074062821,Citroën,Nacional,82,26022,Citadino,,Manual
10067,2017,Gasolina,Usados,8073787632,Opel,Nacional,69,57372,Citadino,,Manual
10068,2003,Gasolina,Usados,8073889131,Opel,Nacional,90,204000,Utilitário,,Manual
10069,2019,Gasolina,Usados,8073975215,Ford,,100,4700,Citadino,,Manual
10070,2017,Diesel,Usados,8070996002,Peugeot,,120,78000,SUV / TT,,Automática
10071,2017,Diesel,Usados,8072533892,VW,Importado,150,84000,Carrinha,,Automática
10072,2009,Diesel,Usados,8075779038,Mercedes-Benz,,224,135000,Monovolume,Classe R,Automática
10073,2014,Diesel,Usados,8072980879,SEAT,Nacional,105,78000,Carrinha,,Manual
10074,2017,Diesel,Usados,8043704204,BMW,,116,40000,Utilitário,Série 1,Manual
10075,2018,Diesel,Usados,8074062869,Audi,Nacional,115,43763,Sedan,,Automática
10076,2002,Diesel,Usados,8072570405,Mercedes-Benz,Importado,95,275000,Pequeno citadino,Classe A,Manual
10077,2015,Diesel,Usados,8059886961,VW,,150,133066,Carrinha,,Manual
10078,2010,Diesel,Usados,8065658889,Fiat,Nacional,85,165000,Citadino,,Manual
10079,2008,Diesel,Usados,8073302377,VW,Importado,105,212000,Carrinha,,Manual
10080,2006,Diesel,Usados,8072650606,Alfa Romeo,Nacional,150,210000,Utilitário,,Manual
10081,2008,Diesel,Usados,8072567021,Renault,Nacional,105,43000,Monovolume,,Manual
10082,2006,Gasolina,Usados,8074109339,Citroën,,68,168000,Pequeno citadino,,Manual
10083,2018,Gasolina,Usados,8072911205,Citroën,Nacional,70,18000,Pequeno citadino,,Automática
10084,2019,Gasolina,Usados,8074062832,Citroën,Nacional,83,19817,Citadino,,Manual
10085,2010,Diesel,Usados,8075450561,SEAT,,90,194000,Citadino,,Unknown
10086,2005,Diesel,Usados,8068671800,Renault,Nacional,105,188000,Utilitário,,Manual
10087,2019,Diesel,Usados,8074062813,DS,Nacional,130,17538,SUV / TT,,Automática
10088,2006,Diesel,Usados,8069153786,Renault,Nacional,105,167000,Monovolume,,Manual
10089,2015,Diesel,Usados,8075408299,VW,Nacional,90,92000,Utilitário,,Manual
